id,tipo_geometria,num_puntos,longitud,latitud,longitud_final,latitud_final,centro_longitud,centro_latitud,area_aproximada,cuadrante
81,LineString,19,281550.0511,8652259.624,281544.2421,8652572.2565,281535.827226,8652412.729097,,NE
82,LineString,17,275573.748,8671667.6443,274570.856,8671385.7313,275067.172377,8671546.672886,,NE
83,LineString,14,273897.9661,8684539.9926,274537.6303,8684589.4124,274217.389995,8684562.961142,,NE
84,LineString,29,271029.4776,8690589.7488,273366.5149,8689701.8565,272185.941319,8690107.857173,,NE
85,LineString,29,285006.1799,8657517.7974,284720.0347,8658163.9393,284895.769885,8657885.48402,,NE
86,LineString,16,284697.091,8660477.9612,285700.6329,8660761.2458,285221.643648,8660556.606175,,NE
87,LineString,13,276956.7305,8682007.0399,277679.1315,8681787.3118,277308.971708,8681871.188741,,NE
88,LineString,33,269952.8705,8692546.4297,268385.3997,8694472.2465,269215.101602,8693495.811749,,NE
89,LineString,19,273556.1395,8671189.2394,273268.0215,8671854.8322,273394.111223,8671514.807333,,NE
90,LineString,25,272944.5951,8662453.1545,273438.493,8663934.2302,273227.125441,8663181.667595,,NE
91,LineString,10,276108.395,8686164.753,276999.0306,8685243.5029,276570.974398,8685721.774029,,NE
92,LineString,43,280223.9963,8669443.1834,279241.7022,8669098.3417,279722.911317,8669306.944618,,NE
93,LineString,105,278008.2699,8665491.6484,275969.4152,8661222.8409,277132.548229,8663331.377221,,NE
94,LineString,6,266853.8303,8699567.1131,265632.4922,8695930.7499,266239.485568,8697750.179166,,NE
95,LineString,4,273946.0009,8670459.8959,273556.1395,8671189.2394,273751.09811,8670824.582449,,NE
96,LineString,39,282681.833,8657756.4006,284198.9356,8656111.3982,283382.42742,8656872.671421,,NE
97,LineString,129,287132.3253,8662496.6704,285851.6504,8662309.6102,286507.247726,8662344.135043,,NE
98,LineString,28,278575.013,8688215.1163,278820.9922,8687175.4098,278707.390634,8687697.688855,,NE
99,LineString,21,278452.6104,8689002.4342,278575.013,8688215.1163,278738.108498,8688589.604987,,NE
100,LineString,25,275575.4049,8688175.2591,275417.4721,8687652.1186,275485.761414,8687923.247841,,NE
101,LineString,6,276047.1789,8682506.2635,276956.7305,8682007.0399,276502.054892,8682256.844185,,NE
102,LineString,25,277390.3299,8684792.5952,278842.7676,8683728.0737,278135.394916,8684299.228365,,NE
103,LineString,2,273410.9208,8667395.9838,273919.6459,8667445.7955,273665.28335,8667420.88965,,NE
104,LineString,3,272986.7918,8666906.6454,272748.7101,8666861.6808,272867.834744,8666883.724579,,NE
105,LineString,16,272951.1311,8677566.0588,272663.8033,8677441.6233,272799.147813,8677522.417871,,NE
106,LineString,3,266092.4885,8700156.8339,266853.8303,8699567.1131,266473.064803,8699861.85142,,NE
107,LineString,16,267906.6683,8702163.8796,266853.8303,8699567.1131,267341.643532,8700886.491364,,NE
108,LineString,103,276340.9078,8677051.9024,277402.8265,8680393.7714,276779.691752,8678759.645753,,NE
109,LineString,97,278153.1728,8689284.2933,275844.8829,8691376.7218,276931.518031,8690298.963484,,NE
110,LineString,32,282784.3958,8685835.1855,281282.1404,8686161.8413,282007.452218,8685894.651761,,NE
111,LineString,56,272469.5038,8691070.0055,277697.2365,8691659.8562,275088.45406,8691315.971209,,NE
112,LineString,35,276045.3843,8687864.2718,279792.9903,8690412.4638,278105.973033,8688905.179947,,NE
113,LineString,51,280409.4125,8689323.4292,281636.6029,8688312.758,281000.677382,8688763.559332,,NE
114,LineString,90,277697.2365,8691659.8562,280409.4125,8689323.4292,279336.451164,8690834.388365,,NE
115,LineString,36,277402.8265,8680393.7714,277934.9384,8682328.1628,277631.286098,8681373.415887,,NE
116,LineString,32,278590.9289,8682841.8421,277934.9384,8682328.1628,278218.786332,8682631.762478,,NE
117,LineString,6,278963.8229,8684223.2079,278842.7676,8683728.0737,278900.878123,8683976.165444,,NE
118,LineString,3,266022.8719,8695544.8066,266723.657,8696215.8667,266373.264444,8695880.336656,,NE
119,LineString,24,300859.9774,8637767.6485,303476.9377,8639267.6154,302151.193183,8638580.91645,,NE
120,LineString,5,275969.4152,8661222.8409,276527.332,8660618.305,276248.868296,8660921.019008,,NE
121,LineString,3,276744.5452,8660413.0539,276527.332,8660618.305,276635.466561,8660515.191913,,NE
122,LineString,4,270380.5364,8663773.5682,270211.7261,8663884.3398,270298.193689,8663831.646536,,NE
